Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
6,1.0,1000,292,708,186,23,3249,4972,8221,1.037,2,0,1,0,0,0
6,1.0,1000,369,631,194,21,3446,4689,8135,1.084,2,0,1,0,0,1
6,1.0,1000,422,578,153,37,3743,4631,8374,0.618,2,0,1,0,1,0
6,1.0,1000,528,472,143,45,3994,4386,8380,0.542,2,0,1,0,1,1
6,1.0,1000,328,672,188,17,3304,4846,8150,1.002,2,0,1,1,0,0
6,1.0,1000,380,620,205,20,3512,4634,8146,0.935,2,0,1,1,0,1
6,1.0,1000,562,438,162,25,4137,4131,8268,0.425,2,0,1,1,1,0
6,1.0,1000,629,371,155,27,4290,3915,8205,0.429,2,0,1,1,1,1
6,1.0,1000,295,705,222,38,3429,4995,8424,0.874,2,1,0,0,0,0
6,1.0,1000,319,681,224,47,3438,4919,8357,0.757,2,1,0,0,0,1
6,1.0,1000,463,537,188,53,3906,4481,8387,0.479,2,1,0,0,1,0
6,1.0,1000,452,548,206,47,3851,4473,8324,0.463,2,1,0,0,1,1
6,1.0,1000,465,535,225,37,3942,4395,8337,0.614,2,1,0,1,0,0
6,1.0,1000,545,455,212,44,4109,4283,8392,0.479,2,1,0,1,0,1
6,1.0,1000,672,328,165,35,4394,3636,8030,0.302,2,1,0,1,1,0
6,1.0,1000,690,310,167,25,4446,3559,8005,0.238,2,1,0,1,1,1
6,1.0,1000,206,794,197,33,2992,5253,8245,1.141,2,1,1,0,0,0
6,1.0,1000,202,798,223,26,2931,5164,8095,1.051,2,1,1,0,0,1
6,1.0,1000,410,590,184,37,3688,4671,8359,0.711,2,1,1,0,1,0
6,1.0,1000,451,549,223,47,3755,4429,8184,0.472,2,1,1,0,1,1
6,1.0,1000,342,658,181,29,3431,4813,8244,0.975,2,1,1,1,0,0
6,1.0,1000,370,630,227,30,3567,4658,8225,0.841,2,1,1,1,0,1
6,1.0,1000,593,407,184,26,4168,3829,7997,0.384,2,1,1,1,1,0
6,1.0,1000,643,357,167,34,4290,3732,8022,0.317,2,1,1,1,1,1
7,1.0,1000,403,597,161,32,3495,4665,8160,2.178,0,0,0,0,0,0
7,1.0,1000,475,525,245,57,3628,4386,8014,0.996,0,0,0,0,0,1
7,1.0,1000,508,492,167,44,3859,4365,8224,1.567,0,0,0,0,1,0
7,1.0,1000,544,456,212,56,3958,4285,8243,0.812,0,0,0,0,1,1
7,1.0,1000,432,568,156,41,3585,4566,8151,2.152,0,0,0,1,0,0
7,1.0,1000,485,515,253,39,3748,4371,8119,0.969,0,0,0,1,0,1
7,1.0,1000,561,439,166,52,4010,4127,8137,1.292,0,0,0,1,1,0
7,1.0,1000,597,403,161,54,4154,4099,8253,0.721,0,0,0,1,1,1
7,1.0,1000,342,658,109,18,3060,4918,7978,2.761,0,0,1,0,0,0
7,1.0,1000,412,588,216,50,3287,4590,7877,1.417,0,0,1,0,0,1
7,1.0,1000,420,580,150,30,3517,4576,8093,1.971,0,0,1,0,1,0
7,1.0,1000,497,503,170,63,3722,4424,8146,1.086,0,0,1,0,1,1
7,1.0,1000,346,654,119,13,3142,4824,7966,2.616,0,0,1,1,0,0
7,1.0,1000,430,570,225,59,3393,4495,7888,1.205,0,0,1,1,0,1
7,1.0,1000,483,517,149,40,3684,4361,8045,1.712,0,0,1,1,1,0
7,1.0,1000,574,426,162,42,3946,4123,8069,0.983,0,0,1,1,1,1
7,1.0,1000,243,757,261,25,3231,5008,8239,2.108,0,1,0,0,0,0
7,1.0,1000,277,723,344,46,3262,4837,8099,0.901,0,1,0,0,0,1
7,1.0,1000,369,631,241,31,3646,4651,8297,1.552,0,1,0,0,1,0
7,1.0,1000,373,627,288,35,3590,4600,8190,0.832,0,1,0,0,1,1
7,1.0,1000,414,586,170,35,3646,4621,8267,1.907,0,1,0,1,0,0
7,1.0,1000,469,531,245,45,3845,4390,8235,0.802,0,1,0,1,0,1
7,1.0,1000,568,432,167,42,4047,3999,8046,1.145,0,1,0,1,1,0
7,1.0,1000,597,403,205,40,4182,3972,8154,0.587,0,1,0,1,1,1
7,1.0,1000,182,818,194,11,2788,5278,8066,2.672,0,1,1,0,0,0
7,1.0,1000,249,751,274,46,2963,5015,7978,1.245,0,1,1,0,0,1
7,1.0,1000,295,705,233,23,3246,4832,8078,1.964,0,1,1,0,1,0
7,1.0,1000,338,662,302,35,3430,4643,8073,0.932,0,1,1,0,1,1
7,1.0,1000,315,685,141,35,3142,4956,8098,2.575,0,1,1,1,0,0
7,1.0,1000,373,627,288,41,3382,4573,7955,1.095,0,1,1,1,0,1
7,1.0,1000,486,514,172,40,3731,4282,8013,1.589,0,1,1,1,1,0
7,1.0,1000,520,480,205,36,3962,4109,8071,0.854,0,1,1,1,1,1
7,1.0,1000,395,605,165,22,3470,4650,8120,2.263,1,0,0,0,0,0
7,1.0,1000,478,522,243,68,3600,4367,7967,0.926,1,0,0,0,0,1
7,1.0,1000,479,521,167,42,3755,4495,8250,1.743,1,0,0,0,1,0
7,1.0,1000,535,465,208,52,3936,4311,8247,0.758,1,0,0,0,1,1
