Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
6,1.0,1000,582,418,146,33,4188,3984,8172,0.429,2,1,1,1,1,0
6,1.0,1000,661,339,170,37,4377,3648,8025,0.291,2,1,1,1,1,1
7,1.0,1000,392,608,171,38,3456,4682,8138,2.215,0,0,0,0,0,0
7,1.0,1000,466,534,249,57,3633,4391,8024,0.903,0,0,0,0,0,1
7,1.0,1000,465,535,187,45,3745,4504,8249,1.709,0,0,0,0,1,0
7,1.0,1000,541,459,200,55,3955,4249,8204,0.875,0,0,0,0,1,1
7,1.0,1000,418,582,178,33,3554,4619,8173,2.074,0,0,0,1,0,0
7,1.0,1000,506,494,224,65,3768,4333,8101,0.933,0,0,0,1,0,1
7,1.0,1000,551,449,169,37,3991,4144,8135,1.397,0,0,0,1,1,0
7,1.0,1000,594,406,195,42,4143,4020,8163,0.675,0,0,0,1,1,1
7,1.0,1000,324,676,142,17,3048,4867,7915,2.698,0,0,1,0,0,0
7,1.0,1000,414,586,237,47,3322,4517,7839,1.292,0,0,1,0,0,1
7,1.0,1000,437,563,159,41,3496,4522,8018,1.971,0,0,1,0,1,0
7,1.0,1000,464,536,210,55,3648,4441,8089,1.112,0,0,1,0,1,1
7,1.0,1000,327,673,129,13,3050,4904,7954,2.654,0,0,1,1,0,0
7,1.0,1000,426,574,234,45,3387,4525,7912,1.367,0,0,1,1,0,1
7,1.0,1000,444,556,165,40,3614,4467,8081,1.839,0,0,1,1,1,0
7,1.0,1000,547,453,173,44,3918,4222,8140,0.997,0,0,1,1,1,1
7,1.0,1000,231,769,241,25,3146,5070,8216,2.137,0,1,0,0,0,0
7,1.0,1000,275,725,340,42,3249,4840,8089,0.856,0,1,0,0,0,1
7,1.0,1000,335,665,261,33,3529,4719,8248,1.51,0,1,0,0,1,0
7,1.0,1000,406,594,290,37,3691,4486,8177,0.74,0,1,0,0,1,1
7,1.0,1000,432,568,171,35,3676,4582,8258,1.758,0,1,0,1,0,0
7,1.0,1000,466,534,249,58,3793,4407,8200,0.801,0,1,0,1,0,1
7,1.0,1000,564,436,189,31,4074,3978,8052,1.134,0,1,0,1,1,0
7,1.0,1000,596,404,205,43,4176,3937,8113,0.571,0,1,0,1,1,1
7,1.0,1000,186,814,204,15,2802,5245,8047,2.699,0,1,1,0,0,0
7,1.0,1000,203,797,333,33,2881,4963,7844,1.227,0,1,1,0,0,1
7,1.0,1000,294,706,214,25,3226,4838,8064,1.939,0,1,1,0,1,0
7,1.0,1000,326,674,264,40,3381,4766,8147,1.064,0,1,1,0,1,1
7,1.0,1000,308,692,157,33,3097,4934,8031,2.442,0,1,1,1,0,0
7,1.0,1000,375,625,257,48,3380,4647,8027,1.148,0,1,1,1,0,1
7,1.0,1000,464,536,160,42,3624,4317,7941,1.583,0,1,1,1,1,0
7,1.0,1000,552,448,196,52,3922,4035,7957,0.817,0,1,1,1,1,1
7,1.0,1000,404,596,163,31,3458,4656,8114,2.237,1,0,0,0,0,0
7,1.0,1000,483,517,235,60,3663,4364,8027,1.003,1,0,0,0,0,1
7,1.0,1000,464,536,179,42,3715,4469,8184,1.648,1,0,0,0,1,0
7,1.0,1000,526,474,202,49,3935,4270,8205,0.805,1,0,0,0,1,1
7,1.0,1000,450,550,166,41,3588,4540,8128,1.959,1,0,0,1,0,0
7,1.0,1000,492,508,231,59,3699,4380,8079,0.978,1,0,0,1,0,1
7,1.0,1000,554,446,161,47,3995,4147,8142,1.312,1,0,0,1,1,0
7,1.0,1000,589,411,189,45,4124,3999,8123,0.656,1,0,0,1,1,1
7,1.0,1000,291,709,135,22,2981,5016,7997,2.868,1,0,1,0,0,0
7,1.0,1000,418,582,221,44,3295,4529,7824,1.279,1,0,1,0,0,1
7,1.0,1000,418,582,135,39,3453,4661,8114,2.134,1,0,1,0,1,0
7,1.0,1000,496,504,175,45,3699,4421,8120,1.071,1,0,1,0,1,1
7,1.0,1000,335,665,125,22,3160,4903,8063,2.772,1,0,1,1,0,0
7,1.0,1000,439,561,199,53,3423,4524,7947,1.297,1,0,1,1,0,1
7,1.0,1000,484,516,147,56,3639,4394,8033,1.712,1,0,1,1,1,0
7,1.0,1000,561,439,152,43,3906,4173,8079,0.971,1,0,1,1,1,1
7,1.0,1000,241,759,271,22,3212,4988,8200,1.996,1,1,0,0,0,0
7,1.0,1000,288,712,339,47,3304,4779,8083,0.92,1,1,0,0,0,1
7,1.0,1000,358,642,256,34,3565,4679,8244,1.449,1,1,0,0,1,0
7,1.0,1000,387,613,301,43,3642,4536,8178,0.782,1,1,0,0,1,1
7,1.0,1000,424,576,159,27,3638,4613,8251,2.025,1,1,0,1,0,0
7,1.0,1000,483,517,258,46,3800,4348,8148,0.815,1,1,0,1,0,1
7,1.0,1000,528,472,197,49,3991,4145,8136,1.207,1,1,0,1,1,0
7,1.0,1000,567,433,212,42,4114,4018,8132,0.627,1,1,0,1,1,1
7,1.0,1000,195,805,198,30,2757,5202,7959,2.624,1,1,1,0,0,0
